fecha,ticker,tipo,shares,precio,valor,comision
2015-01-30,REGN,COMPRA,30,414.36188,12430.856,28.590970993041992
2015-01-30,ORLY,COMPRA,998,12.490728,12465.747,28.671218872070312
2015-01-30,KR,COMPRA,446,27.919355,12452.032,28.63967514038086
2015-01-30,AGN-201503,COMPRA,56,219.2127,12275.912,28.23459815979004
2015-01-30,VRTX,COMPRA,113,110.14,12445.82,28.62538719177246
2015-01-30,AVGO,COMPRA,1582,7.8805037,12466.957,28.674001693725586
2015-01-30,RCL,COMPRA,188,66.19698,12445.033,28.623577117919922
2015-01-30,EW,COMPRA,596,20.891645,12451.421,28.638269424438477
2015-01-30,MNST,COMPRA,639,19.491646,12455.162,28.646873474121094
2015-01-30,BBWI,COMPRA,270,46.15546,12461.975,28.66254234313965
2015-01-30,SIAL-201511,COMPRA,91,136.8387,12452.321,28.640338897705078
2015-01-30,AMGN,COMPRA,112,110.880135,12418.575,28.56272315979004
2015-01-30,CFN-201503,COMPRA,210,59.3,12453.0,28.64190101623535
2015-01-30,DAL,COMPRA,301,41.431156,12470.778,28.682790756225586
2015-01-30,MAR,COMPRA,186,66.88217,12440.084,28.612194061279297
2015-01-30,EA,COMPRA,233,53.340034,12428.229,28.58492660522461
2015-01-30,SPLS-201709,COMPRA,822,15.168341,12468.376,28.677265167236328
2015-01-30,LUV,COMPRA,312,39.898903,12448.458,28.631454467773438
2015-01-30,MNKKQ-202206,COMPRA,117,105.99,12400.83,28.521909713745117
2015-01-30,LOW,COMPRA,224,55.48631,12428.934,28.5865478515625
2015-02-27,REGN,VENTA,30,418.71774,12561.532,28.891525268554688
2015-02-27,ORLY,VENTA,998,13.986736,13958.763,32.10515594482422
2015-02-27,DAL,VENTA,301,40.1896,12097.07,27.82326316833496
2015-02-27,MAR,VENTA,186,74.97364,13945.097,32.07372283935547
2015-02-27,VRTX,VENTA,113,119.92,13550.96,31.167207717895508
2015-02-27,RCL,VENTA,188,67.65306,12718.775,29.253183364868164
2015-02-27,CFN-201503,VENTA,210,60.18,12637.8,29.066940307617188
2015-02-27,AMGN,VENTA,112,116.474625,13045.158,30.003864288330078
2015-02-27,KR,AJUSTE_COMPRA,13,28.84289,374.95758,23.0
2015-02-27,AVGO,AJUSTE_VENTA,224,9.775563,2189.726,23.0
2015-02-27,EA,AJUSTE_COMPRA,5,55.595757,277.9788,23.0
2015-02-27,MNST,AJUSTE_VENTA,75,23.519974,1763.998,23.0
2015-02-27,SPLS-201709,AJUSTE_COMPRA,65,14.914794,969.4616,23.0
2015-02-27,LUV,AJUSTE_COMPRA,34,38.18567,1298.3127,23.0
2015-02-27,MNKKQ-202206,AJUSTE_VENTA,3,116.72,350.16,23.0
2015-02-27,LOW,AJUSTE_VENTA,5,60.669724,303.34863,23.0
2015-02-27,BBWI,AJUSTE_VENTA,12,51.48295,617.7954,23.0
2015-02-27,SIAL-201511,AJUSTE_COMPRA,5,137.60484,688.02423,23.0
2015-02-27,MO,COMPRA,477,27.706987,13216.233,30.397336959838867
2015-02-27,CELG-201911,COMPRA,108,121.53,13125.24,30.188053131103516
2015-02-27,AAPL,COMPRA,462,28.590908,13209.0,30.380701065063477
2015-02-27,WHR,COMPRA,94,140.05408,13165.083,30.279691696166992
2015-02-27,MAC,COMPRA,300,44.01081,13203.243,30.367460250854492
2015-02-27,IRM,COMPRA,670,19.72384,13214.974,30.394439697265625
2015-02-27,KDP,COMPRA,1349,9.8011465,13221.747,30.410018920898438
2015-02-27,ANDV-201809,COMPRA,156,84.776024,13225.06,30.41763687133789
2015-03-31,CELG-201911,VENTA,108,118.88,12839.04,29.52979278564453
2015-03-31,SPLS-201709,VENTA,887,14.891567,13208.82,30.380287170410156
2015-03-31,MAC,VENTA,300,45.24722,13574.166,31.220582962036133
2015-03-31,IRM,VENTA,670,20.004816,13403.227,30.827421188354492
2015-03-31,KDP,VENTA,1349,9.921566,13384.192,30.78364372253418
2015-03-31,SIAL-201511,VENTA,96,138.02345,13250.252,30.4755802154541
2015-03-31,MO,AJUSTE_COMPRA,58,24.868412,1442.3679,23.0
2015-03-31,AAPL,AJUSTE_COMPRA,19,27.693962,526.1853,23.0
2015-03-31,KR,AJUSTE_VENTA,29,31.076542,901.2197,23.0
2015-03-31,AVGO,AJUSTE_COMPRA,7,9.755254,68.28677,23.0
2015-03-31,EA,AJUSTE_VENTA,4,57.185455,228.74182,23.0
2015-03-31,WHR,AJUSTE_COMPRA,5,133.51888,667.59436,23.0
2015-03-31,MNST,AJUSTE_COMPRA,13,23.06581,299.85553,23.0
2015-03-31,LUV,AJUSTE_VENTA,5,39.174915,195.87457,23.0
2015-03-31,EW,AJUSTE_VENTA,34,23.743309,807.2725,23.0
2015-03-31,MNKKQ-202206,AJUSTE_VENTA,8,126.65,1013.2,23.0
2015-03-31,BBWI,AJUSTE_VENTA,5,52.844845,264.2242,23.0
2015-03-31,ANDV-201809,AJUSTE_COMPRA,2,84.26833,168.53667,23.0
2015-03-31,ROST,COMPRA,280,47.411423,13275.198,30.532957077026367
2015-03-31,FTRCQ-202104,COMPRA,175,75.89363,13281.386,30.54718780517578
2015-03-31,DLTR,COMPRA,163,81.145,13226.635,30.421260833740234
2015-03-31,HSP-201509,COMPRA,151,87.84,13263.84,30.506832122802734
2015-03-31,RAI-201707,COMPRA,416,31.942043,13287.89,30.56214714050293
2015-03-31,ELV,COMPRA,100,132.7559,13275.591,30.533859252929688
2015-04-30,MO,VENTA,535,24.933044,13339.179,30.680110931396484
2015-04-30,ROST,VENTA,280,44.891453,12569.606,28.91009521484375
2015-04-30,AAPL,VENTA,481,28.377243,13649.454,31.39374542236328
2015-04-30,FTRCQ-202104,VENTA,175,73.95592,12942.285,29.767255783081055
2015-04-30,WHR,VENTA,99,118.73705,11754.968,27.036426544189453
2015-04-30,RAI-201707,VENTA,416,34.273613,14257.823,32.79299545288086
2015-04-30,ELV,VENTA,100,130.53772,13053.771,30.0236759185791
2015-04-30,AVGO,AJUSTE_VENTA,20,8.97932,179.5864,23.0
2015-04-30,EA,AJUSTE_VENTA,20,56.480545,1129.6108,23.0
2015-04-30,DLTR,AJUSTE_VENTA,5,76.41,382.05002,23.0
2015-04-30,MNST,AJUSTE_VENTA,48,22.851643,1096.8789,23.0
2015-04-30,LUV,AJUSTE_VENTA,4,35.8676,143.4704,23.0
2015-04-30,EW,AJUSTE_COMPRA,8,21.10831,168.86649,23.0
2015-04-30,LOW,AJUSTE_VENTA,5,56.56639,282.83197,23.0
2015-04-30,HSP-201509,AJUSTE_VENTA,12,87.29,1047.48,23.0
2015-04-30,BBWI,AJUSTE_VENTA,12,50.081825,600.98193,23.0
2015-04-30,ANDV-201809,AJUSTE_VENTA,5,79.228294,396.14148,23.0
2015-04-30,AAL,COMPRA,261,45.936867,11989.522,27.575902938842773
2015-04-30,HUM,COMPRA,79,152.08212,12014.487,27.63332176208496
2015-04-30,KMX,COMPRA,176,68.11,11987.36,27.5709285736084
2015-04-30,COR,COMPRA,122,98.13078,11971.955,27.535497665405273
2015-04-30,CI,COMPRA,105,113.88629,11958.061,27.5035400390625
2015-04-30,KRFT-201507,COMPRA,142,84.75,12034.5,27.679349899291992
2015-04-30,SWKS,COMPRA,161,74.32562,11966.425,27.522777557373047
2015-05-29,AAL,VENTA,261,39.653072,10349.452,23.803739547729492
2015-05-29,AGN-201503,VENTA,56,240.22,13452.32,30.940338134765625
2015-05-29,HUM,VENTA,79,164.03929,12959.1045,29.805940628051758
2015-05-29,KMX,VENTA,176,72.14,12696.64,29.202272415161133
2015-05-29,DLTR,VENTA,158,75.92,11995.359,27.589326858520508
2015-05-29,EW,VENTA,570,21.811644,12432.637,28.595064163208008
2015-05-29,LOW,VENTA,214,57.68359,12344.288,28.391862869262695
2015-05-29,ANDV-201809,VENTA,153,83.05055,12706.734,29.22549057006836
2015-05-29,KR,AJUSTE_COMPRA,14,29.5885,414.23898,23.0
2015-05-29,AVGO,AJUSTE_VENTA,186,11.375496,2115.8423,23.0
2015-05-29,COR,AJUSTE_COMPRA,13,96.88274,1259.4756,23.0
2015-05-29,EA,AJUSTE_COMPRA,1,61.016293,61.016293,23.0
2015-05-29,LUV,AJUSTE_COMPRA,64,32.76367,2096.875,23.0
2015-05-29,MNKKQ-202206,AJUSTE_VENTA,4,129.44,517.76,23.0
